
time,Latitude,Longitude,,
08:29:14:458,37.38775891,-6.00309754,
08:29:15:460,37.38774677,-6.00311591,
08:29:16:448,37.38774284,-6.00313017,
08:29:18:468,37.38775696,-6.00314697,
08:29:19:463,37.38776887,-6.00314499,
08:29:20:459,37.38778668,-6.00315246,
08:29:21:476,37.38780122,-6.00316096,
08:29:22:464,37.38781856,-6.00317125,
08:29:23:462,37.3878343,-6.00319255,
08:29:24:451,37.3878486,-6.00321491,
08:29:25:461,37.38786948,-6.00323979,
08:29:26:461,37.38789022,-6.00325886,
08:29:27:457,37.38791154,-6.00327369,
08:29:28:444,37.38792974,-6.00328859,
08:29:29:446,37.3879471,-6.00330474,
08:29:30:455,37.38796807,-6.00333721,
08:29:31:462,37.38799186,-6.00336445,
08:29:32:463,37.38801613,-6.00338463,
08:29:33:461,37.38804129,-6.00340615,
08:29:34:456,37.38806498,-6.00342827,
08:29:35:459,37.38809419,-6.0034475,
08:29:36:462,37.38812283,-6.00345563,
08:29:37:466,37.38814772,-6.00346161,
08:29:38:458,37.38816265,-6.0034651,
08:29:39:463,37.38818069,-6.00347486,
08:29:40:462,37.38820117,-6.00348953,
08:29:41:464,37.38821933,-6.00350473,
08:29:42:468,37.38824329,-6.00352009,
08:29:43:468,37.38827165,-6.00353608,
08:29:44:463,37.38830273,-6.00354655,
08:29:45:464,37.38833448,-6.00355498,
08:29:46:461,37.38836587,-6.00356942,
08:29:47:457,37.38839584,-6.00357809,
08:29:48:462,37.38842159,-6.00359462,
08:29:49:470,37.38844487,-6.00361071,
08:29:50:464,37.38847016,-6.00362845,
08:29:51:470,37.38850072,-6.00364119,
08:29:52:458,37.38852505,-6.00365521,
08:29:53:455,37.38854468,-6.00366946,
08:29:54:464,37.38856356,-6.00368335,
08:29:55:476,37.38858075,-6.00370455,
08:29:56:465,37.38859963,-6.00372498,
08:29:57:466,37.38862551,-6.00374519,
08:29:58:473,37.3886562,-6.00377079,
08:29:59:478,37.38868255,-6.00379304,
08:30:00:475,37.3887071,-6.00381253,
08:30:01:465,37.38873335,-6.00383876,
