time,ax,ay,az,aT
0.6010,-0.0431,0.0486,0.0045,0.065
0.6060,0.0261,0.0363,0.0139,0.047
0.6110,0.0401,-0.0043,0.0802,0.090
0.6170,0.0659,-0.0424,-0.1031,0.130
0.6210,-0.0200,0.0719,-0.0097,0.075
0.6260,0.0109,0.0714,0.0876,0.114
0.6310,0.0130,0.0257,0.0418,0.051
0.6360,0.0036,-0.0386,-0.1080,0.115
0.6410,-0.0769,-0.0217,-0.1048,0.132
0.6460,-0.0574,0.0047,0.0622,0.085
0.6570,0.0164,-0.0144,0.0475,0.052
0.6580,-0.0383,-0.0144,-0.1024,0.110
0.6600,-0.0781,0.0853,-0.0802,0.141
0.6650,-0.0348,0.0727,0.1198,0.144
0.6700,0.0532,-0.0797,-0.0260,0.099
0.6790,0.0480,-0.0601,-0.0566,0.095
0.6800,-0.0637,0.0140,-0.0609,0.089
0.6850,-0.0063,0.1207,0.0844,0.147
0.6900,0.0315,0.0390,0.0078,0.051
0.6940,-0.0044,-0.0609,-0.0611,0.086
0.7000,-0.0255,0.0179,-0.0820,0.088
0.7100,-0.0159,0.0461,0.1418,0.150
0.7110,0.0863,0.0077,-0.0232,0.090
0.7140,0.0001,-0.0328,-0.0158,0.036
0.7230,0.0193,0.0600,-0.0845,0.105
0.7240,-0.1374,0.0808,0.0087,0.160
0.7290,0.0299,-0.0337,-0.0483,0.066
0.7430,-0.0321,-0.0715,-0.0218,0.081
0.7440,-0.0103,-0.0069,-0.1925,0.193
0.7450,-0.1050,0.1119,0.0630,0.166
0.7490,0.0644,-0.0313,-0.0110,0.072
0.7540,-0.0311,-0.0619,0.0365,0.078
0.7630,0.0357,-0.0186,-0.0872,0.096
0.7640,-0.0737,0.0148,0.0203,0.078
0.7720,0.0645,-0.0708,0.0202,0.098
0.7770,0.0164,-0.0892,0.0556,0.106
0.7800,-0.0170,-0.0054,-0.0825,0.084
0.7840,-0.0500,0.0777,0.1009,0.137
0.7900,0.0854,-0.0582,-0.0471,0.114
0.7930,0.0750,-0.0720,0.1598,0.191
0.7980,0.1053,-0.0098,-0.0931,0.141
0.8060,-0.0757,0.1065,0.0334,0.135
0.8100,0.0815,0.0060,-0.0072,0.082
0.8120,0.0521,0.0036,0.0807,0.096
0.8170,0.0682,-0.0417,-0.1336,0.156
0.8230,-0.1600,0.0275,-0.0043,0.162
0.8270,-0.0353,-0.0201,0.0693,0.080
0.8320,0.0432,-0.0010,0.1802,0.185
0.8370,0.0809,-0.0889,-0.2152,0.246
0.8420,-0.0668,0.0708,0.0737,0.122
0.8470,0.0571,-0.0081,0.1040,0.119
0.8530,0.0518,-0.0056,0.0912,0.105
0.8570,0.0372,-0.0697,-0.1563,0.175
0.8620,-0.1648,0.0448,0.0728,0.186
0.8670,-0.0355,0.0491,0.0508,0.079
0.8710,0.0310,-0.0487,0.0599,0.083
0.8760,0.0949,-0.0673,-0.1233,0.170
0.8810,0.0302,-0.0003,-0.0060,0.031
0.8890,0.0323,0.0638,0.0913,0.116
0.8910,0.0794,0.0774,0.0550,0.124
0.8960,0.0171,-0.0537,-0.1329,0.144
0.9020,-0.0945,-0.0153,-0.0298,0.100
0.9090,-0.0344,0.0037,0.0369,0.051
0.9110,0.0394,0.0273,0.0105,0.049
0.9160,0.0486,-0.0133,-0.1343,0.144
0.9250,-0.0371,-0.0013,-0.0383,0.053
0.9260,-0.0630,0.0058,0.0996,0.118
0.9310,-0.0626,0.0343,0.0585,0.092
0.9370,-0.0502,-0.0467,-0.0275,0.074
0.9400,-0.1043,-0.0012,-0.0628,0.122
0.9450,-0.0061,0.0201,0.0540,0.058
0.9500,0.0555,-0.0394,0.0512,0.085
0.9570,0.0716,0.0131,-0.0632,0.096
0.9610,-0.0167,0.0794,-0.0935,0.124
0.9650,0.0260,0.0764,0.1137,0.139
0.9710,0.0803,-0.0452,-0.0604,0.110
0.9760,0.0037,-0.0567,0.0397,0.069
0.9800,-0.0745,0.0695,-0.1362,0.170
0.9850,-0.0881,0.1259,0.0358,0.158
0.9930,0.0074,-0.0459,0.0307,0.056
0.9940,-0.0213,-0.1072,0.0542,0.122
0.9990,-0.0280,0.0218,-0.1266,0.131
1.0050,-0.0396,0.1165,0.0335,0.128
1.0090,0.1005,-0.0244,0.0403,0.111
1.0140,0.0046,-0.0978,0.1064,0.145
1.0210,0.0357,0.0406,-0.1436,0.153
1.0250,-0.1235,0.0830,0.0308,0.152
1.0290,0.0412,-0.0458,0.1255,0.140
1.0340,0.0549,-0.0194,0.0936,0.110
1.0440,0.0736,-0.0098,-0.1801,0.195
1.0440,-0.1001,0.0970,0.0848,0.163
1.0480,0.0358,-0.0153,0.0817,0.091
1.0570,0.0235,-0.0247,-0.0329,0.047
1.0600,0.0802,-0.0103,-0.1750,0.193
1.0630,-0.0818,-0.0054,0.0638,0.104
1.0680,0.0542,-0.0623,0.0680,0.107
1.0810,-0.0103,-0.0095,-0.0061,0.015
1.0810,0.0349,-0.0166,-0.1200,0.126
1.0840,-0.0816,0.0546,0.0685,0.120
1.0890,0.0733,-0.0668,0.1510,0.181
1.0950,0.0536,-0.0284,0.0714,0.094
1.0980,0.0723,-0.0567,-0.1784,0.201
1.1060,-0.0896,0.0482,0.1648,0.194
1.1080,0.1080,0.0930,0.0424,0.149
1.1130,0.1164,0.1041,0.0895,0.180
1.1170,0.0847,-0.0700,-0.1675,0.200
1.1220,-0.1626,-0.0005,0.0926,0.187
1.1270,-0.0663,-0.0480,0.0562,0.099
1.1320,0.0433,0.0069,0.0059,0.044
1.1400,0.0786,-0.0549,-0.2504,0.268
1.1500,-0.0666,0.0143,0.0198,0.071
1.1500,-0.0755,0.0427,0.0173,0.088
1.1520,-0.0131,0.0517,0.1192,0.131
1.1570,-0.0391,-0.0673,-0.1879,0.203
1.1620,-0.1004,0.0116,-0.0274,0.105
1.1660,-0.0522,-0.0573,0.0986,0.125
1.1720,0.0146,-0.0260,0.1334,0.137
1.1760,0.0456,-0.0211,-0.1596,0.167
1.1810,-0.0448,0.0692,0.0055,0.083
1.1860,0.0360,-0.0002,0.0101,0.037
1.1910,0.0640,-0.0618,0.0409,0.098
1.1960,0.0351,-0.0686,-0.0947,0.122
