time,yaw,pitch,roll
48:18.9,3.64,61.2,0.87
48:19.0,3.55,61.21,0.94
48:19.1,3.63,61.22,0.87
48:19.2,3.68,61.18,0.81
48:19.3,3.67,61.09,0.77
48:19.4,3.68,61.14,0.79
48:19.5,3.62,61.09,0.82
48:19.6,3.64,61.08,0.77
48:19.7,3.64,61.08,0.79
48:19.8,3.63,61.07,0.79
48:19.9,3.58,61.04,0.8
48:20.0,3.52,61.03,0.85
48:20.1,3.57,61.03,0.81
48:20.2,3.58,61.09,0.82
48:20.3,3.73,61.14,0.72
48:20.4,3.7,61.14,0.74
48:20.5,3.61,61.13,0.83
48:20.6,3.57,61.14,0.88
48:20.7,3.69,61.16,0.77
48:20.8,3.63,61.19,0.84
48:20.9,3.66,61.17,0.82
48:21.0,3.73,61.16,0.72
48:21.1,3.63,61.15,0.82
48:21.2,3.73,61.16,0.75
48:21.3,3.8,61.24,0.7
48:21.4,3.68,61,0.77
48:21.5,3.59,60.18,0.74
48:21.6,3.71,57.94,0.53
48:21.7,4.45,53.91,-0.38
48:21.8,4.26,48.32,-1.06
48:21.9,5.41,40.56,-2.93
48:22.0,5.4,32.39,-4.06
48:22.1,5.2,23.96,-5.78
48:22.2,5.04,17.37,-5.74
48:22.3,4.94,11.74,-5.04
48:22.4,4.79,6.87,-3.58
48:22.5,4.96,2.54,-4.41
48:22.6,5.08,1.1,-4.63
48:22.7,4.68,-0.02,-4.87
48:22.8,4.76,-1.4,-3.75
48:22.9,4.76,-1.28,-4.04
48:23.0,4.7,-1.3,-4.1
48:23.1,4.67,-1.4,-4.11
48:23.2,4.68,-1.4,-4.16
48:23.3,4.68,-1.4,-4.13
48:23.4,4.7,-1.16,-3.84
